backend_name,timestamp,id0,id1,id2,id3,id4,sx0,sx1,sx2,sx3,sx4,x0,x1,x2,x3,x4,cx4_3,cx3_4,cx3_1,cx1_3,cx2_1,cx1_2,cx1_0,cx0_1,T1_q0,T2_q0,frequency_q0,readout_error_q0,prob_meas0_prep1_q0,prob_meas1_prep0_q0,T1_q1,T2_q1,frequency_q1,readout_error_q1,prob_meas0_prep1_q1,prob_meas1_prep0_q1,T1_q2,T2_q2,frequency_q2,readout_error_q2,prob_meas0_prep1_q2,prob_meas1_prep0_q2,T1_q3,T2_q3,frequency_q3,readout_error_q3,prob_meas0_prep1_q3,prob_meas1_prep0_q3,T1_q4,T2_q4,frequency_q4,readout_error_q4,prob_meas0_prep1_q4,prob_meas1_prep0_q4,accuracy,accuracy-diff,accuracy-diff-bad,accuracy-diff-good,accuracy-diff-mid,dynamic_training
ibmq_belem,2021-08-10 01:17:12-04:00,0.000182698,0.000310276,0.000212215,0.000219941,0.000401891,0.000182698,0.000310276,0.000212215,0.000219941,0.000401891,0.000182698,0.000310276,0.000212215,0.000219941,0.000401891,0.008088259,0.008088259,0.006448129,0.006448129,0.006661161,0.006661161,0.019407758,0.019407758,86.22432018,92.89284459,5.090019882,0.0187,0.0286,0.0088,82.90410699,116.0337858,5.245455219,0.02,0.0286,0.0114,78.21419213,66.77903434,5.361365621,0.0196,0.0278,0.0114,90.37838673,131.2986266,5.17038157,0.0149,0.0234,0.0064,42.62165506,191.9114066,5.258377828,0.0653,0.101,0.0296,0.82,0.82,0.725,0.845,0.815,0.845
ibmq_belem,2021-08-11 00:42:14-04:00,0.000200454,0.000264931,0.000203044,0.000227065,0.000248999,0.000200454,0.000264931,0.000203044,0.000227065,0.000248999,0.000200454,0.000264931,0.000203044,0.000227065,0.000248999,0.007456384,0.007456384,0.006598365,0.006598365,0.00617228,0.00617228,0.016936675,0.016936675,67.77853559,119.4753274,5.090022451,0.0192,0.0312,0.0072,49.08341839,125.9666402,5.245446086,0.0223,0.0372,0.0074,82.50343699,76.7395747,5.361375005,0.021,0.035,0.007,83.87392163,85.77865555,5.170388017,0.0177,0.03,0.0054,127.3910089,179.2120388,5.258382688,0.0208,0.0332,0.0084,0.82,0.825,0.73,0.86,0.82,0.86
ibmq_belem,2021-08-12 10:00:05-04:00,0.000249245,0.006506654,0.000209128,0.000228421,0.000238565,0.000249245,0.006506654,0.000209128,0.000228421,0.000238565,0.000249245,0.006506654,0.000209128,0.000228421,0.000238565,0.008049964,0.008049964,0.150595916,0.150595916,0.038128397,0.038128397,0.006598365,0.006598365,98.48837618,104.2466928,5.090072271,0.0152,0.0214,0.009,104.1807006,86.58510113,5.245572012,0.061,0.102,0.02,99.24003881,65.33919291,5.361378527,0.061,0.067,0.055,87.55323688,104.1159552,5.170382819,0.0235,0.039,0.008,81.63381085,129.1157564,5.258381404,0.0193,0.0302,0.0084,0.215,0.215,0.215,0.215,0.215,0.215
ibmq_belem,2021-08-13 00:34:17-04:00,0.000193657,0.000721075,0.000220438,0.000184892,0.000246501,0.000193657,0.000721075,0.000220438,0.000184892,0.000246501,0.000193657,0.000721075,0.000220438,0.000184892,0.000246501,0.008544639,0.008544639,0.007640029,0.007640029,0.007566101,0.007566101,0.016632798,0.016632798,112.3288553,157.7580931,5.090072851,0.0161,0.0234,0.0088,90.41767115,122.9880984,5.245406879,0.0233,0.0408,0.0058,88.08935196,68.46988645,5.361371779,0.0205,0.0298,0.0112,106.5385378,167.5632597,5.170388085,0.0151,0.0232,0.007,112.7101927,128.5223939,5.258385729,0.0195,0.0308,0.0082,0.215,0.215,0.24,0.215,0.215,0.24
ibmq_belem,2021-08-14 00:36:48-04:00,0.000218748,0.000900134,0.000215453,0.000229041,0.000346837,0.000218748,0.000900134,0.000215453,0.000229041,0.000346837,0.000218748,0.000900134,0.000215453,0.000229041,0.000346837,0.009545212,0.009545212,0.007114853,0.007114853,0.007035879,0.007035879,0.019774329,0.019774329,69.32726077,89.32771374,5.090072305,0.0179,0.0302,0.0056,101.9056423,115.5221831,5.245402877,0.0209,0.037,0.0048,77.8022204,59.13132573,5.361378004,0.0252,0.038,0.0124,102.4057802,161.7309867,5.170374232,0.016,0.026,0.006,80.65160679,52.03599934,5.258390747,0.0312,0.0384,0.024,0.83,0.825,0.75,0.865,0.82,0.865
ibmq_belem,2021-08-15 00:34:57-04:00,0.00020145,0.00023646,0.000198219,0.000225961,0.000384424,0.00020145,0.00023646,0.000198219,0.000225961,0.000384424,0.00020145,0.00023646,0.000198219,0.000225961,0.000384424,0.011107455,0.011107455,0.006246472,0.006246472,0.006070341,0.006070341,0.014049196,0.014049196,94.09390413,114.574764,5.090074058,0.0174,0.0264,0.0084,96.1542481,105.5976337,5.245428516,0.0203,0.031,0.0096,88.71067618,63.51590236,5.361401957,0.0169,0.0224,0.0114,55.4843677,75.062143,5.170373512,0.0192,0.0312,0.0072,101.7215752,139.4748086,5.258371502,0.0204,0.034,0.0068,0.82,0.81,0.735,0.85,0.815,0.85
ibmq_belem,2021-08-16 00:34:24-04:00,0.000184394,0.000246137,0.000190794,0.000235929,0.00024228,0.000184394,0.000246137,0.000190794,0.000235929,0.00024228,0.000184394,0.000246137,0.000190794,0.000235929,0.00024228,0.009199735,0.009199735,0.00707074,0.00707074,0.005590162,0.005590162,0.013820466,0.013820466,96.91240744,141.0339166,5.090075765,0.0163,0.0254,0.0072,72.22961174,104.914956,5.245428635,0.0186,0.0304,0.0068,70.5679582,64.20440806,5.361399711,0.021,0.032,0.01,58.08021057,136.2278778,5.170367707,0.0167,0.0286,0.0048,117.9717382,139.2494449,5.258378671,0.0193,0.0298,0.0088,0.825,0.835,0.75,0.855,0.815,0.855
ibmq_belem,2021-08-17 00:59:37-04:00,0.00024787,0.000245748,0.000255879,0.000360704,0.000261381,0.00024787,0.000245748,0.000255879,0.000360704,0.000261381,0.00024787,0.000245748,0.000255879,0.000360704,0.000261381,0.015852536,0.015852536,0.007047845,0.007047845,0.006808191,0.006808191,0.016882784,0.016882784,109.9643556,136.0599034,5.090070882,0.019,0.0296,0.0084,80.45909369,120.6069129,5.245428871,0.0202,0.0318,0.0086,96.16361529,65.3871246,5.361396049,0.0188,0.0306,0.007,63.53153674,48.16818566,5.170370523,0.0188,0.0294,0.0082,65.25559636,105.4643323,5.258376837,0.0272,0.0434,0.011,0.815,0.82,0.765,0.865,0.815,0.865
ibmq_belem,2021-08-18 00:46:51-04:00,0.000185035,0.000252437,0.000268305,0.000232234,0.00026038,0.000185035,0.000252437,0.000268305,0.000232234,0.00026038,0.000185035,0.000252437,0.000268305,0.000232234,0.00026038,0.009267421,0.009267421,0.007660158,0.007660158,0.00714573,0.00714573,0.015735748,0.015735748,112.6281673,129.5622634,5.090072223,0.023,0.0368,0.0092,97.13412803,113.0243602,5.245427568,0.0235,0.042,0.005,87.25014552,57.45972944,5.361395242,0.0227,0.0332,0.0122,71.31881782,133.7949826,5.170370523,0.0158,0.0274,0.0042,75.318926,109.940561,5.258376767,0.0278,0.0372,0.0184,0.83,0.825,0.75,0.865,0.815,0.865
ibmq_belem,2021-08-19 00:37:37-04:00,0.000183015,0.000218908,0.000261715,0.000213968,0.000368679,0.000183015,0.000218908,0.000261715,0.000213968,0.000368679,0.000183015,0.000218908,0.000261715,0.000213968,0.000368679,0.007621849,0.007621849,0.009671914,0.009671914,0.006645767,0.006645767,0.01520488,0.01520488,94.16472546,131.7814441,5.090071012,0.0189,0.0252,0.0126,112.2734835,137.813419,5.245429,0.0203,0.0318,0.0088,72.94518432,55.65422233,5.361395942,0.0212,0.032,0.0104,117.652292,162.210352,5.170371691,0.0184,0.0312,0.0056,109.4350395,162.1641345,5.258379692,0.0218,0.0334,0.0102,0.825,0.835,0.755,0.865,0.82,0.865
